file_name,dsatur_colours,maxis_colours
graphs/instances/g0003.col,17,17
graphs/instances/g0002.col,26,25
graphs/instances/g0001.col,14,13
graphs/instances/g0004.col,37,38
graphs/instances/g0005.col,33,33
graphs/instances/g0006.col,6,8
graphs/instances/g0007.col,38,38
graphs/instances/g0008.col,32,33
graphs/instances/g0009.col,38,41
graphs/instances/g0010.col,37,36
graphs/instances/g0012.col,28,26
graphs/instances/g0013.col,36,37
graphs/instances/g0014.col,37,37
graphs/instances/g0011.col,8,10
graphs/instances/g0015.col,12,13
graphs/instances/g0016.col,10,12
graphs/instances/g0019.col,12,13
graphs/instances/g0017.col,10,13
graphs/instances/g0018.col,9,13
graphs/instances/g0021.col,9,11
graphs/instances/g0020.col,13,16
graphs/instances/g0022.col,12,13
graphs/instances/g0023.col,9,12
graphs/instances/g0025.col,10,13
graphs/instances/g0026.col,10,14
graphs/instances/g0024.col,10,12
graphs/instances/g0027.col,11,14
graphs/instances/g0029.col,10,13
graphs/instances/g0030.col,9,12
graphs/instances/g0028.col,10,11
graphs/instances/g0032.col,10,12
graphs/instances/g0031.col,10,12
graphs/instances/g0033.col,10,11
graphs/instances/g0034.col,10,12
graphs/instances/g0035.col,10,13
graphs/instances/g0037.col,10,14
graphs/instances/g0036.col,10,14
graphs/instances/g0040.col,9,11
graphs/instances/g0039.col,10,12
graphs/instances/g0038.col,10,12
graphs/instances/g0041.col,10,12
graphs/instances/g0045.col,10,12
graphs/instances/g0042.col,10,11
graphs/instances/g0044.col,9,12
graphs/instances/g0047.col,18,17
graphs/instances/g0046.col,9,10
graphs/instances/g0050.col,9,12
graphs/instances/g0049.col,31,32
graphs/instances/g0043.col,10,10
graphs/instances/g0051.col,10,13
graphs/instances/g0052.col,31,29
graphs/instances/g0054.col,23,24
graphs/instances/g0053.col,9,10
graphs/instances/g0055.col,10,12
graphs/instances/g0056.col,19,17
graphs/instances/g0058.col,18,17
graphs/instances/g0059.col,27,28
graphs/instances/g0060.col,33,34
graphs/instances/g0062.col,45,48
graphs/instances/g0061.col,8,12
graphs/instances/g0064.col,37,35
graphs/instances/g0063.col,31,34
graphs/instances/g0066.col,39,37
graphs/instances/g0065.col,36,35
graphs/instances/g0068.col,44,46
graphs/instances/g0067.col,39,40
graphs/instances/g0070.col,36,37
graphs/instances/g0069.col,35,35
graphs/instances/g0057.col,8,7
graphs/instances/g0071.col,41,43
graphs/instances/g0072.col,40,39
graphs/instances/g0073.col,41,42
graphs/instances/g0075.col,31,31
graphs/instances/g0074.col,41,42
graphs/instances/g0077.col,41,43
graphs/instances/g0076.col,38,40
graphs/instances/g0078.col,39,40
graphs/instances/g0079.col,37,36
graphs/instances/g0080.col,36,37
graphs/instances/g0081.col,46,42
graphs/instances/g0082.col,43,42
graphs/instances/g0083.col,43,44
graphs/instances/g0084.col,39,41
graphs/instances/g0086.col,42,44
graphs/instances/g0085.col,41,41
graphs/instances/g0087.col,42,42
graphs/instances/g0088.col,43,45
graphs/instances/g0089.col,43,44
graphs/instances/g0090.col,44,43
graphs/instances/g0091.col,43,46
graphs/instances/g0092.col,14,12
graphs/instances/g0094.col,34,31
graphs/instances/g0095.col,6,8
graphs/instances/g0097.col,10,11
graphs/instances/g0096.col,25,26
graphs/instances/g0099.col,11,11
graphs/instances/g0098.col,36,34
graphs/instances/g0100.col,9,13
graphs/instances/g0101.col,29,30
graphs/instances/g0102.col,25,28
graphs/instances/g0103.col,29,30
graphs/instances/g0104.col,11,14
graphs/instances/g0105.col,11,13
graphs/instances/g0106.col,23,24
graphs/instances/g0107.col,16,18
graphs/instances/g0108.col,29,27
graphs/instances/g0109.col,23,25
graphs/instances/g0110.col,29,28
graphs/instances/g0111.col,30,29
graphs/instances/g0112.col,27,28
graphs/instances/g0113.col,16,18
graphs/instances/g0115.col,28,30
graphs/instances/g0114.col,17,19
graphs/instances/g0116.col,19,20
graphs/instances/g0117.col,25,24
graphs/instances/g0119.col,14,18
graphs/instances/g0118.col,14,16
graphs/instances/g0120.col,14,16
graphs/instances/g0121.col,26,27
graphs/instances/g0123.col,26,27
graphs/instances/g0122.col,24,25
graphs/instances/g0124.col,27,25
graphs/instances/g0125.col,26,25
graphs/instances/g0126.col,25,26
graphs/instances/g0127.col,21,21
graphs/instances/g0128.col,21,21
graphs/instances/g0129.col,21,23
graphs/instances/g0130.col,21,21
graphs/instances/g0131.col,19,20
graphs/instances/g0132.col,22,25
graphs/instances/g0134.col,13,12
graphs/instances/g0135.col,15,14
graphs/instances/g0133.col,8,8
graphs/instances/g0137.col,22,22
graphs/instances/g0138.col,16,17
graphs/instances/g0139.col,31,31
graphs/instances/g0140.col,10,11
graphs/instances/g0141.col,30,30
graphs/instances/g0142.col,7,8
graphs/instances/g0143.col,28,29
graphs/instances/g0144.col,12,12
graphs/instances/g0145.col,37,35
graphs/instances/g0146.col,26,28
graphs/instances/g0147.col,24,24
graphs/instances/g0148.col,23,23
graphs/instances/g0149.col,23,21
graphs/instances/g0150.col,8,9
graphs/instances/g0151.col,8,9
graphs/instances/g0152.col,8,10
graphs/instances/g0153.col,8,10
graphs/instances/g0154.col,7,11
graphs/instances/g0155.col,8,11
graphs/instances/g0156.col,10,10
graphs/instances/g0157.col,9,9
graphs/instances/g0158.col,8,9
graphs/instances/g0159.col,8,10
graphs/instances/g0160.col,7,9
graphs/instances/g0161.col,8,12
graphs/instances/g0162.col,7,9
graphs/instances/g0163.col,9,10
graphs/instances/g0164.col,7,9
graphs/instances/g0165.col,8,9
graphs/instances/g0166.col,8,10
graphs/instances/g0167.col,8,11
graphs/instances/g0168.col,10,17
graphs/instances/g0048.col,5,6
graphs/instances/g0170.col,17,17
graphs/instances/g0171.col,9,9
graphs/instances/g0172.col,9,13
graphs/instances/g0173.col,9,11
graphs/instances/g0174.col,11,13
graphs/instances/g0175.col,9,10
graphs/instances/g0176.col,9,11
graphs/instances/g0177.col,7,9
graphs/instances/g0178.col,8,9
graphs/instances/g0179.col,9,11
graphs/instances/g0180.col,8,9
graphs/instances/g0181.col,8,10
graphs/instances/g0182.col,25,28
graphs/instances/g0183.col,40,40
graphs/instances/g0184.col,7,9
graphs/instances/g0185.col,7,8
graphs/instances/g0186.col,8,8
graphs/instances/g0187.col,8,8
graphs/instances/g0188.col,8,9
graphs/instances/g0189.col,7,10
graphs/instances/g0190.col,8,10
graphs/instances/g0191.col,7,9
graphs/instances/g0192.col,9,11
graphs/instances/g0193.col,6,9
graphs/instances/g0194.col,8,9
graphs/instances/g0195.col,9,11
graphs/instances/g0196.col,8,11
graphs/instances/g0169.col,7,8
graphs/instances/g0197.col,8,10
graphs/instances/g0198.col,7,10
graphs/instances/g0199.col,7,8
graphs/instances/g0200.col,7,10
graphs/instances/g0201.col,8,10
graphs/instances/g0202.col,7,8
graphs/instances/g0203.col,7,7
graphs/instances/g0204.col,6,8
graphs/instances/g0205.col,6,8
graphs/instances/g0206.col,6,7
graphs/instances/g0207.col,5,7
graphs/instances/g0208.col,6,8
graphs/instances/g0209.col,6,7
graphs/instances/g0210.col,7,7
graphs/instances/g0212.col,8,11
graphs/instances/g0213.col,12,13
graphs/instances/g0214.col,7,9
graphs/instances/g0215.col,10,14
graphs/instances/g0216.col,6,9
graphs/instances/g0217.col,8,9
graphs/instances/g0093.col,3,
graphs/instances/g0218.col,9,10
graphs/instances/g0219.col,9,11
graphs/instances/g0220.col,9,10
graphs/instances/g0211.col,6,6
graphs/instances/g0222.col,8,10
